Area,Year,0
Spain,2020,10065.55
Sri Lanka,2020,8534.0
Sudan,2020,7817.0
Suriname,2020,8270.01
Sweden,2020,9769.869999999999
Switzerland,2020,10207.02
Syrian Arab Republic,2020,8611.0
Tajikistan,2020,8378.18
Thailand,2020,8607.029999999999
Timor-Leste,2020,6793.52
Togo,2020,7536.02
Trinidad and Tobago,2020,8897.220000000001
Tunisia,2020,10703.16
Turkmenistan,2020,8650.83
Türkiye,2020,11260.0
Uganda,2020,6633.62
Ukraine,2020,8955.29
United Arab Emirates,2020,9228.0
United Kingdom of Great Britain and Northern Ireland,2020,10164.75
United Republic of Tanzania,2020,7182.0
United States of America,2020,11779.49
Uruguay,2020,9621.32
Uzbekistan,2020,9845.58
Vanuatu,2020,8445.26
Venezuela (Bolivarian Republic of),2020,6858.0
Viet Nam,2020,9016.0
Western Africa,2020,8103.18
Western Asia,2020,9497.970000000001
Western Europe,2020,10782.27
World,2020,8955.09
Yemen,2020,6360.92
Zambia,2020,7026.0
Zimbabwe,2020,5861.09
